name,date,price,currency,raw_date,raw_price
"Hampden DOK 2019 Rom de Luxe ex-Caroni Cask Finish / 5th Anniversary","2021-10-11",400,"£,11.10.21,£400"
"Caroni 1999 Alambic Classique 18 Year Old","2021-10-11",142,"£,11.10.21,£142"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-10-11",230,"£,11.10.21,£230"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",500,"£,11.10.21,£500"
"Caroni 2000 Velier Full Proof Heavy / Nita 'Nitz' Hogan","2021-10-11",951,"£,11.10.21,£951"
"Caroni 2000 Velier Full Proof Heavy / Nita 'Nitz' Hogan","2021-10-11",901,"£,11.10.21,£901"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-10-11",410,"£,11.10.21,£410"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-10-11",415,"£,11.10.21,£415"
"Caroni 1998 Velier Full Proof Heavy / Ganesh 'Buju' Ramgobie","2021-10-11",950,"£,11.10.21,£950"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-10-11",525,"£,11.10.21,£525"
"Caroni 1998 Velier 21 Year Old Full Proof Heavy / Kevon 'Slippery' Moreno","2021-10-11",1100,"£,11.10.21,£1,100"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",550,"£,11.10.21,£550"
"Caroni 2000 Velier 17 Year Old High Proof 75cl / US Import","2021-10-11",851,"£,11.10.21,£851"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",551,"£,11.10.21,£551"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-10-11",525,"£,11.10.21,£525"
"Caroni 1996 Velier Full Proof Heavy / Vijay 'Vijay' Ranmarine","2021-10-11",1300,"£,11.10.21,£1,300"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-10-11",242,"£,11.10.21,£242"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-10-11",525,"£,11.10.21,£525"
"Caroni 1998 Velier 17 Year Old 110 Proof","2021-10-11",270,"£,11.10.21,£270"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",525,"£,11.10.21,£525"
"Caroni 1998 Velier Full Proof Heavy / Ganesh 'Buju' Ramgobie","2021-10-11",900,"£,11.10.21,£900"
